,Region,Orbital Distance,Orbital Period,Keplerian Ratio,Radius,Day Length,Atm. Pressure,Surface Temp,Surface Gravity,Mass,Satellites,pl_name,Species,Population,Capital,Colony Founded,Population (Orbital Stations),CDEM Garrison,Population (L4 and L5 stations)
314,Andromeda / Heleus Cluster / Dar'hegah,0.4 AU,0.5 Earth Years,0.256,"2,499 km",,0.00 atm,-75 °C ,,,,Jegraph,,,,,,,
315,Milky Way / Rosetta Nebula / Enoch,2.3 AU,3.5 Earth Years,0.993,"6,709 km",25.6 Earth Hours,2.18 atm,14 °C ,1.2 g,1.318 Earth Masses,2,Joab,Human,"21,553,000",New Jericho,2171,,,
316,Milky Way / Crescent Nebula / Lusarn,0.2 AU,25 Earth Days,,"67,428 km",25 Earth Days,,,,,,Jontan,,,,,,,
317,Milky Way / Pylos Nebula / Nariph,0.65 AU,1 Earth Year,0.275,"20,312 km",15.1 Earth Hours,,,,,>1,Jonus,Human,,,,,,
318,Milky Way / Petra Nebula / Vetus,4.4 AU,9.2 Earth Years,1.006,"58,415 km",8.7 Earth Hours,,,,,,Joppa,,,,,,,
319,Milky Way / Kepler Verge / Newton,15.3 AU,60.0 Earth Years,0.995,"66,642 km",16.8 Earth Hours,,,,,,Juncro,,,,,,,
320,Milky Way / Hades Gamma / Farinata,57.05 AU,102.0 Earth Years,17.847,"4,227 km",102.0 Earth Years,0.36 atm,"1,176 °C ",0.38 g,0.166 Earth Masses,,Juntauma,,,,,,,
321,Milky Way / Armstrong Nebula / Gagarin,,0.2 Earth Years,,"10,480 km",56.7 Earth Hours,0.96 atm,−49 °C ,0.98 g,2.626 Earth Masses,> 1,Junthor,,,,,,,
322,Milky Way / Local Cluster / Sol,5.2 AU,11.7 Earth Years,1.027,"71,492 km",9.93 Earth Hours,,,,318 Earth Masses,63,Jupiter,Human,"9,100 (all moons)",,,,,
323,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,
325,Andromeda / Heleus Cluster / Govorkam,0.9 AU,1.0 Earth Year,0.729,"8,859 km",,1.10 atm,29 °C ,,,,Kadara,Angara,,Kadara Port,,,,
326,Milky Way / Perseus Veil / Tikkun,4.3 AU,10 Earth Years,0.795,"11,690 km",21 Earth Hours,Trace,-93 °C ,1.9 g,6.335 Earth Masses,,Kaddi,,,,,,,
327,,,,,,,,,,,,,,,,,,,
328,Milky Way / Aethon Cluster / Esori,3.2 AU,5.7 Earth Years,1.009,"11,489 km",93.9 Earth Hours,Trace,-93 °C ,0.91 g,2.931 Earth Masses,,Kailo,,,,,,,
329,Andromeda / Heleus Cluster / Hefena,4.3 AU,10.2 Earth Years,0.764,"5,679 km",,114.11 atm,330 °C ,,,,Kamiiro No,,,,,,,
330,Milky Way / Krogan DMZ / Aralakh,1.66 AU,1.6 Earth Years,1.787,"3,312 km",,Trace,155 °C ,0.28 g,0.075 Earth Masses,,Kanin,,,,,,,
331,Milky Way / Omega Nebula / Amada,2.4 AU,2.9 Earth Years,1.644,"2,446 km",63.6 Earth Hours,0.14 atm,99 °C ,0.28 g,0.041 Earth Masses,,Karora,,,,,,,
332,Milky Way / Caleston Rift / Yakawa,2.3 AU,3.8 Earth Years,0.843,"6,529 km",33.4 Earth Hours,33.72 atm,150 °C ,1.1 g,1.144 Earth Masses,,Karumto,,,,,,,
333,Milky Way / Ninmah Cluster / Maskim Xul,2.2 AU,6 Earth Years,0.296,"1,258 km",52.5 Earth Hours,0.8 atm,462 °C ,0.24 g,0.009 Earth Masses,,Kashshaptu,,,,,,,
334,Milky Way / Silean Nebula / Kypladon,4.1 AU,9.1 Earth Years,0.832,"48,746 km",15.4 Earth Hours,,,,,,Katebolo,,,,,,,
335,Milky Way / Caleston Rift / Talava,1.2 AU,1.0 Earth Year,1.728,"6,212 km",42.6 Earth Hours,Trace,249 °C ,1.0 g,0.942 Earth Masses,,Kaushus,,,,,,,
336,Milky Way / Sigurd's Cradle / Skepsis,16.8 AU,69.1 Earth Years,0.993,"9,586 km",29.7 Earth Hours,Trace,−190 °C ,3.4 g,7.623 Earth Masses,1,Keimowitz,,,,,,,
337,Milky Way / Krogan DMZ / Dranek,0.2 AU,0.2 Earth Years,0.2,"5,580 km",28.3 Earth Hours,0.5 atm,42 °C ,0.52 g,0.395 Earth Masses,,Kelim,,,,,,,
338,Milky Way / Hourglass Nebula / Sowilo,0.55 AU,0.5 Earth Years,0.666,"5,501 km",68.3 Earth Hours,Trace,72 °C ,0.69 g,0.509 Earth Masses,,Kenaz,,,,,,,
339,Milky Way / Ninmah Cluster / Mulla Xul,5.8 AU,15.7 Earth Years,0.792,"70,912 km",17.6 Earth Hours,,,,,,Keph,,,,,,,
340,Milky Way / Hades Nexus / Hekate,2.2 AU,3.3 Earth Years,0.978,"6,420 km",61.7 Earth Hours,1.2 atm,−4 °C ,1.1 g,1.106 Earth Masses,,Ker,,,,,,,
341,Milky Way / Kite's Nest / Harsa,1.45 AU,1.7 Earth Years,1.055,"5,222 km",18.5 Earth Hours,0.62 atm,33 °C ,0.96 g,0.639 Earth Masses,,Khar'shan,Batarian,,,,,,
342,Andromeda / Heleus Cluster / Pytheas,31.4 AU,197 Earth Years,0.798,"7,495 km",,3.57 atm,-178 °C ,,,,Khonsu,,,,,,,
343,Andromeda / Heleus Cluster / Ratul,56 AU,99.2 Earth Years,17.846,"6,126 km",,0.08 atm,730 °C ,,,,Kizrata,,,,,,,
344,Milky Way / Kepler Verge / Newton,7.5 AU,20.6 Earth Years,0.994,"7,677 km",18.3 Earth Hours,1.01 atm,-109 °C ,0.82 g,1.179 Earth Masses,,Klencory,,,,,,,
345,Milky Way / Hawking Eta / Century,1.615 AU,2.3 Earth Years,0.796,"7,377 km",53.6 Earth Hours,0.64 atm,−53 °C ,0.88 g,1.169 Earth Masses,Presrop,Klendagon,,,,,,,
346,Milky Way / Hades Gamma / Dis,7.15 AU,21.4 Earth Years,0.798,"5,447 km",37.2 Earth Hours,0.58 atm,-35 °C ,0.86 g,0.623 Earth Masses,1,Klensal,,,,,,,
347,Milky Way / Kite's Nest / Untrel,2.3 AU,2.7 Earth Years,1.669,"10,116 km",64.3 Earth Hours,Trace,88 °C ,1.26 g,3.146 Earth Masses,,Klos,,,,,,,
348,Milky Way / Caleston Rift / Yakawa,3.9 AU,7.7 Earth Years,1,"30,698 km",11.3 Earth Hours,,,,,>1,Kobayashi,,,,,,,
349,Milky Way / Hades Nexus / Pamyat,1.0 AU,1.0 Earth Year,1,"6,861 km",39.6 Earth Hours,Trace,55 °C ,1.3 g,1.493 Earth Masses,,Komarov,,,,,,,
350,Milky Way / Omega Nebula / Fathar,0.32 AU,0.3 Earth Years,0.364,"1,919 km",,Trace,−40 °C ,0.19 g,0.017 Earth Masses,,Korar,,2400,,,,,
351,Milky Way / Eagle Nebula / Imir,1.3 AU,1.5 Earth Years,0.976,"6,850 km",28.9 Earth Hours,1.5 atm,28 °C ,1.3 g,1.488 Earth Masses,,Korlus,,"3,800,000,000 (est.)",Choquo (disputed),1781,,,
352,Andromeda / Heleus Cluster / Pfeiffer,2.3 AU,3.5 Earth Years,0.993,"11,963 km",,0.05 atm,-58 °C ,,,,Korvath,,,,,,,
353,Andromeda / Heleus Cluster / Skeldah,0.3 AU,0.3 Earth Years,0.3,"6,634 km",,53.07 atm,126 °C ,,,,Kotkoborra,,,,,,,
354,Milky Way / Athena Nebula / Orisoni,3.1 AU,5.6 Earth Years,0.95,"5,879 km",48.6 Earth Hours,Trace,-93 °C ,0.57 g,0.481 Earth Masses,,Kralla,,,,,,,
355,Milky Way / Krogan DMZ / Aralakh,3.31 AU,4.6 Earth Years,1.714,"5,443 km",,47.3 atm,728 °C ,0.7 g,0.506 Earth Masses,,Kruban,,,,,,,
356,Milky Way / Athena Nebula / Parnitha,0.45 AU,0.3 Earth Years,1.013,"4,103 km",57.5 Earth Hours,69.95 atm,734 °C ,0.32 g,0.131 Earth Masses,,Kurinth,,,,,,,
357,Milky Way / Rosetta Nebula / Enoch,0.6 AU,0.5 Earth Years,0.864,"7,658 km",24.3 Earth Hours,14.91 atm,384 °C ,1.8 g,2.576 Earth Masses,,Laban,,,,,,,
358,Milky Way / Sigurd's Cradle / Lenal,2.5 AU,3.6 Earth Years,1.206,"9,973 km",22.1 Earth Hours,Trace,73 °C ,1.89 g,4.587 Earth Masses,,Laconix,,,,,,,
359,Milky Way / Sigurd's Cradle / Decoris,1.4 AU,1.7 Earth Years,0.949,"6,197 km",36.2 Earth Hours,37.64 atm,365 °C ,1.0 g,0.937 Earth Masses,,Laena,,,,,,,
360,Milky Way / Aethon Cluster / Nura,1.1 AU,1.2 Earth Years,0.924,"8,616 km",53.6 Earth Hours,0.74 atm,0.85 °C ,0.85 g,1.54 Earth Masses,,Lahu,,,,,,,
361,Milky Way / The Phoenix Massing / Chomos,2.2 AU,5.2 Earth Years,0.394,"5,500 km",35.7 Earth Hours,1.3 atm,,0.7 g,0.517 Earth Masses,,Lattesh,,,,,,,
362,Milky Way / Nimbus Cluster / Kallini,1.4 AU,1.3 Earth Years,1.624,"7,900 km",39.7 Earth Hours,8.69 atm,479 °C ,1.14 g,1.736 Earth Masses,,Lemnia,,,,,,,
363,Milky Way / Silean Nebula / Phontes,0.3 AU,0.2 Earth Years,0.675,"11,975 km",42.1 Earth Hours,Trace,367 °C ,1.14 g,3.989 Earth Masses,,Lenuamund,,,,,,,
364,Milky Way / Ismar Frontier / Aquila,0.5 AU,0.4 Earth Years,0.781,"56,666 km",9.2 Earth Hours,,,,,> 1,Lepini,,,,,,,
365,Milky Way / Nimbus Cluster / Mesana,0.8 AU,0.8 Earth Years,0.8,"6,126 km",23.5 Earth Hours,0.75 atm,38 °C ,1.23 g,1.126 Earth Masses,,Lesuss,Asari,Unknown,Marya,473 BCE,,,
366,Andromeda / Heleus Cluster / Joba,16.4 AU,66.5 Earth Years,0.997,"8,060 km",,0.11 atm,-182 °C ,,,,Letapho,,,,,,,
367,Milky Way / The Shrike Abyssal / Kyzil,3.5 AU,7.3 Earth Years,0.805,"72,280 km",11.9 Earth Hours,,,,,,Lihrat,,,,,,,
368,Milky Way / Hawking Eta / Schwarzschild,3.34 AU,6.8 Earth Years,0.806,"55,806 km",17.8 Earth Hours,,,,,,Linossa,,,,,,,
369,Milky Way / Sigurd's Cradle / Mil,0.68 AU,0.56 Earth Years,1.003,"5,953 km",34.7 Earth Hours,Trace,131 °C ,0.66 g,0.571 Earth Masses,,Lisir,,,,,,,
370,Milky Way / Aethon Cluster / Aru,5.8 AU,14.0 Earth Years,0.995,"52,635 km",10.6 Earth Hours,,,,,>96,Locil,,,,,,,
371,Milky Way / Attican Beta / Theseus,23.27 AU,112.6 Earth Years,0.994,"66,341 km",18.6 Earth Hours,,,,,,Logan,,,,,,,
372,Milky Way / Omega Nebula / Batalla,0.6 AU,0.5 Earth Years,0.864,"5,014 km",49.7 Earth Hours,Trace,56 °C ,0.5 g,0.307 Earth Masses,,Logasiri,Batarian,,,,,,
373,Milky Way / Exodus Cluster / Asgard,6.8 AU,17.8 Earth Years,0.992,"3,630 km",61.3 Earth Hours,0.2 atm,−135 °C ,0.22 g,0.071 Earth Masses,,Loki,,,,,,,
374,Milky Way / Omega Nebula / Fathar,0.2 AU,59.6 Earth Days,,"6,754 km",,0.4 atm,40 °C ,0.6 g,0.668 Earth Masses,,Lorek,Batarian,"4,700,000",Jalnor,1764,,,
375,Milky Way / Silean Nebula / Teyolia,0.7 AU,0.43 Earth Years,1.855,"3,016 km",29.3 Earth Hours,0.458 atm,152 °C ,0.47 g,0.104 Earth Masses,,Loxia,,,,,,,
376,Milky Way / Athena Nebula / Tomaros,2.6 AU,4.1 Earth Years,1.046,"8,479 km",57.4 Earth Hours,1.06 atm,12 °C ,1.2 g,2.105 Earth Masses,,Lusia,Asari,2.2 billion(Pop. estimate is pre-invasion),Monoi,505 BCE,,,
377,Milky Way / Nimbus Cluster / Mesana,1.5 AU,2 Earth Years,0.844,"4,109 km",63.6 Earth Hours,0.17 atm,-59 °C ,0.76 g,0.313 Earth Masses,,Lymetis,Asari,"12,550",Irira,430 BCE,,,
378,Andromeda / Heleus Cluster / Zheng He,94.7 AU,526 Earth Years,3.07,"45,011 km",,1.60 atm,,,,1,Ma Huan,,,,,,,
379,Andromeda / Heleus Cluster / Onaon,0.5 AU,0.3 Earth Years,1.389,"9,357 km",,0.64 atm,135 °C ,,,,Mae Raav,,,,,,,
380,Andromeda / Heleus Cluster / Vaar,4.2 AU,4.9 Earth Years,3.086,"8,666 km",,0.04 atm,319 °C ,,,,Mae Shesa,,,,,,,
381,Milky Way / Horse Head Nebula / Fortuna,1.32 AU,2.4 Earth Years,0.399,"7,708 km",33.2 Earth Hours,1.03 atm,−150 °C ,1.1 g,1.595 Earth Masses,,Maganlis,,,,,,,
382,Milky Way / Hades Gamma / Plutus,3.2 AU,3.3 Earth Years,3.009,"6,914 km",33.4 Earth Hours,0.48 atm,497 °C ,0.88 g,1.026 Earth Masses,,Maidla,,,,,,,
383,Milky Way / Crescent Nebula / Ondeste,2.35 AU,6.6 Earth Years,0.298,"3,893 km",54.7 Earth Hours,Trace,−194 °C ,0.25 g,0.092 Earth Masses,,Maisuth,,,,,,,
384,Milky Way / Caleston Rift / Talava,2.8 AU,3.6 Earth Years,1.694,"4,642 km",,Trace,74 °C ,0.4 g,0.21 Earth Masses,,Maitrum,,,,,,,
385,Milky Way / Armstrong Nebula / Vamshi,,5.9 Earth Years,,"5,727 km",55.3 Earth Hours,0.42 atm,-121 °C ,0.85 g,0.68 Earth Masses,,Maji,,,,,,,
386,Milky Way / Hades Nexus / Hoplos,0.5 AU,129 Earth Days,,"4,733 km",34.9 Earth Hours,Trace,206 °C ,0.5 g,0.273 Earth Masses,>1s,Makhaira,,,,,,,
387,Milky Way / Kite's Nest / Indris,9.3 AU,31.8 Earth Years,0.795,"3,763 km",38.1 Earth Hours,2.71 atm,-127 °C ,0.55 g,0.19 Earth Masses,,Maklan,,,,,,,
388,Milky Way / Ninmah Cluster / Mulla Xul,0.9 AU,1.0 Earth Year,0.729,"8,356 km",36.0 Earth Hours,52.73 atm,361 °C ,1.88 g,3.203 Earth Masses,,Maldor,,,,,,,
389,Milky Way / Krogan DMZ / Nith,57.2 AU,112.1 Earth Years,14.893,"2,150 km",,Trace,641 °C ,0.28 g,0.032 Earth Masses,,Mantun,,,,,,,
390,Andromeda / Heleus Cluster / Vaar,6.9 AU,10.2 Earth Years,3.158,"11,925 km",,87.45 atm,"1,179 °C ",,,,Margoth,,,,,,,
391,Andromeda / Heleus Cluster / Eriksson,22.9 AU,109 Earth Years,1.011,"7,040 km",,0.2 atm,-201 °C ,,,,Markland,,,,,,,
392,Milky Way / Local Cluster / Sol,1.52 AU,1.88 Earth Years,0.994,"3,402 km",24.6 Earth Hours,Trace,-138 °C ,0.38 g,0.107 Earth Masses,2,Mars,Human,3.4 million,Lowell City,2103,,,
393,Andromeda / Heleus Cluster / Valay,6.2 AU,11.9 Earth Years,1.683,"8,529 km",,0.00 atm,-53 °C ,,,,Masiid,,,,,,,
394,Milky Way / Caleston Rift / Yakawa,2.0 AU,2.8 Earth Years,1.02,"7,105 km",37.6 Earth Hours,3.35 atm,52 °C ,1.4 g,1.724 Earth Masses,,Maskawa,Volus,40250,Sahime,2098,,,
395,Milky Way / Armstrong Nebula / Hong,,29.8 Earth Years,,"4,599 km",54.5 Earth Hours,3.72 atm,−64 °C ,0.57 g,0.294 Earth Masses,,Matar,,,,,,,
396,Milky Way / Kepler Verge / Herschel,,207.3 Earth Years,,"4,077 km",34.6 Earth Hours,0.49 atm,33 °C ,0.5 g,0.203 Earth Masses,,Matol,,,,,,,
397,Milky Way / Gemini Sigma / Han,12.125 AU,42.3 Earth Years,0.996,"4,906 km",52.0 Earth Hours,0.82 atm,−124 °C ,0.8 g,0.47 Earth Masses,,Mavigon,,,,,,,
398,Milky Way / Armstrong Nebula / Tereshkova,,662.7 Earth Years,,"1,170 km",61.8 Earth Hours,0.00 atm,-228 °C ,0.08 g,0.003 Earth Masses,,Mawinor,,,,,,,
399,Milky Way / Nimbus Cluster / Mesana,2.85 AU,5.4 Earth Years,0.794,"63,544 km",10.4 Earth Hours,,,,,>1,Medokos,,,,,,,
400,Milky Way / Ismar Frontier / Elysta,3.1 AU,6.1 Earth Years,0.801,"28,684 km",8.6 Earth Hours,,,,,23,Melile,,,,,,,
401,Andromeda / Heleus Cluster / Kindrax,1.1 AU,1.2 Earth Years,0.924,"7,911 km",,0.14 atm,44 °C ,,,,Mendradym,,,,,,,
402,Milky Way / Local Cluster / Sol,0.39 AU,88 Earth Days,,"2,440 km",58.7 Earth Days,Trace,430 °C ,0.38 g,0.055 Earth Masses,,Mercury,Human,340,,,,,
403,Andromeda / Heleus Cluster / Saajor,,,,"1,800 km",,1.03 atm,,,,,Meridian,Human,,Port Meridian,2819,,,
404,Milky Way / Ismar Frontier / Aquila,4.2 AU,8.6 Earth Years,1.002,"70,520 km",12.1 Earth Hours,,,,,,Metaponto,,,,,,,
405,Milky Way / Argos Rho / Hydra,2.0 AU,2.8 Earth Years,1.02,"7,301 km",47.2 Earth Hours,1.00 atm,169 °C ,1.1 g,1.4 Earth Masses,,Metgos,,,,,,,
406,,,,,,,,,,,,,,,,,,,
407,Andromeda / Heleus Cluster / Govorkam,1.9 AU,2.9 years,,"10,323 km",,2.82 atm,-28 °C ,,,,Mine,,,,,,,
408,Milky Way / Hades Gamma / Plutus,1.8 AU,1.4 Earth Years,2.976,"4,384 km",1.4 Earth Years,0.2 atm,675 °C ,0.44 g,0.206 Earth Masses,,Mingito,,,,,,,
409,Milky Way / Rosetta Nebula / Enoch,1.2 AU,1.3 Earth Years,1.022,"17,932 km",10.9 Earth Hours,1.9 atm,,,,,Mizraim,,,,,,,
410,Milky Way / Hawking Eta / Thorne,0.81 AU,0.8 Earth Years,0.83,"72,541 km",18.7 Earth Hours,,"1,500 °C ",,37 Jupiter masses,≥ 1,Mnemosyne,,,,,,,
411,Andromeda / Heleus Cluster / Shojaon,41.0 AU,149.6 Earth Years,3.08,"16,275 km",,1.48 atm,,,,,Mocalaam,,,,,,,
412,Milky Way / Aethon Cluster / Esori,0.3 AU,0.1 Earth Years,2.7,"7,608 km",18.4 Earth Hours,3.78 atm,625 °C ,0.82 g,1.158 Earth Masses,,Mola,,,,,,,
413,Andromeda / Heleus Cluster / Rohvir,2.3 AU,6.3 Earth Years,0.307,"10,835 km",,0.10 atm,-189 °C ,,,,Momairus,,,,,,,
414,,,,,,,,,,,,,,,,,,,
415,Milky Way / Horse Head Nebula / Pax,6.3 AU,17.7 Earth Years,0.798,"1,089 km",17.7 Earth Years,0.0 atm,-158 °C ,0.1 g,0.003 Earth Masses,,Morana,,,,,,,
416,Andromeda / Heleus Cluster / Anasa,4.1 AU,9.3 Earth Years,0.797,"44,679 km",,1.35 atm,,,,,Mornax Vinkaar,,,,,,,
417,Milky Way / The Phoenix Massing / Typhon,2.9 AU,4.9 Earth Years,1.016,"4,025 km",60.7 Earth Hours,0.16 atm,−73 °C ,0.35 g,0.138 Earth Masses,,Moros,,27800,None,2150,,,
418,Andromeda / Heleus Cluster / Tecunis,11.1 AU,21.0 Earth Years,3.101,"3,324 km",,0.77 atm,139 °C ,,,,Mosiiba,,,,,,,
419,Andromeda / Heleus Cluster / Tecunis,12.7 AU,28.8 Earth Years,2.47,"6,842 km",,0.00 atm,70 °C ,,,,Mosiino,,,,,,,
420,Andromeda / Heleus Cluster / Tecunis,14.4 AU,31.1 Earth Years,3.087,"6,448 km",,0.04 atm,66 °C ,,,,Mosiives,,,,,,,
421,Milky Way / Eagle Nebula / Relic,0.7 AU,0.7 Earth Years,0.7,"10,551 km",53.9 Earth Hours,19.46 atm,225 °C ,4.6 g,12.495 Earth Masses,,Murky Water,,,,,,,
422,Andromeda / Heleus Cluster / Sephesa,0.2 AU,0.2 Earth Years,0.2,"1,437 km",,25.79 atm,148 °C ,,,,Nadinoor,,,,,,,
423,Milky Way / Aethon Cluster / Satu Arrd,23.4 AU,113.6 Earth Years,0.993,"4,494 km",20.6 Earth Hours,0.97 atm,-156 °C ,0.64 g,0.315 Earth Masses,,Nalisin,,,,,,,
424,Milky Way / Pylos Nebula / Zaherin,0.8 AU,0.8 Earth Years,0.8,"10,133 km",23.8 Earth Hours,0.87 atm,41 °C ,1.26 g,3.157 Earth Masses,,Namakli,,,,,,,
425,Milky Way / Caleston Rift / Yakawa,1.1 AU,1.2 Earth Years,0.924,"47,852 km",15.5 Earth Hours,,,,,20,Nambu,,,,,,,
426,Andromeda / Heleus Cluster / Pytheas,27.9 AU,164.9 Earth Years,0.799,"25,194 km",,1.54 atm,,,,1,Nanuk,,,,,,,
427,Milky Way / The Shrike Abyssal / Kyzil,0.37 AU,0.3 Earth Years,0.563,"1,754 km",0.3 Earth Years,Trace,156 °C ,0.41 g,0.031 Earth Masses,,Naskral,,,,,,,
428,Milky Way / Pylos Nebula / Satent,4.1 AU,8.3 Earth Years,1,"23,623 km",8.9 Earth Hours,,,,,,Nataisa,,,,,,,
429,Milky Way / Artemis Tau / Athens,,57.6 Earth Years,,"59,729 km",14.0 Earth Hours,,,,,,Nausicaa,,,,,,,
430,Milky Way / Athena Nebula / Vernio,0.7 AU,0.5 Earth Years,1.372,"10,081 km",54.4 Earth Hours,78.03 atm,"1,300 °C ",1.42 g,3.521 Earth Masses,,Nauti,,,,,,,
431,Milky Way / Crescent Nebula / Tasale,9.37 AU,28.8 Earth Years,0.992,"22,981 km",10.1 Earth Hours,,,,,,Naxell,Human,"6,700",EAE Krafla,,,,
432,Andromeda / Heleus Cluster / Dar'hegah,3.9 AU,14.1 Earth Years,0.298,"2,587 km",,101.68 atm,19 °C ,,,,Ne'grale,,,,,,,
433,Milky Way / Nimbus Cluster / Agaiou,26.6 AU,,N/A,"3,897 km",35.7 Earth Hours,Trace,-158 °C ,0.38 g,0.141 Earth Masses,,Neargas,,,,,,,
434,Milky Way / Omega Nebula / Batalla,4.8 AU,11.8 Earth Years,0.794,"19,976 km",16.5 Earth Hours,,,,,> 1,Nearog,,,,,,,
435,Milky Way / Hades Gamma / Dis,3.15 AU,6.3 Earth Years,0.788,"6,779 km",31.7 Earth Hours,0.67 atm,58 °C ,0.82 g,0.919 Earth Masses,≥ 1,Nearrum,,,,,,,
436,Milky Way / Pylos Nebula / Kriseroi,0.1 AU,0.1 Earth Years,0.1,"4,875 km",0.1 Earth Years,0.84 atm,2 °C ,0.87 g,0.504 Earth Masses,,Neidus,,,,,,,
437,Milky Way / Eagle Nebula / Amun,3.4 AU,6.3 Earth Years,0.99,"7,008 km",54.7 Earth Hours,0.7 atm,−25 °C ,1.4 g,1.678 Earth Masses,1,Neith,,,,,,,
438,Milky Way / Sentry Omega / Hoc,,3.5 Earth Years,,"7,318 km",70.4 Earth Hours,1.6 atm,168 °C ,1.4 g,1.829 Earth Masses,,Nemata,,,,,,,
439,Milky Way / Voyager Cluster / Columbia,,0.8 Earth Years,,"6,865 km",56.2 Earth Hours,0.73 atm,37 °C ,0.88 g,1.012 Earth Masses,1,Nepheron,,,,,,,
440,Milky Way / Hourglass Nebula / Faryar,7.5 AU,20.6 Earth Years,0.994,"44,750 km",11.9 Earth Hours,,,,,,Nephros,,,,,,,
441,Milky Way / Styx Theta / Erebus,,0.7 Earth Years,,"7,593 km",68.1 Earth Hours,1.12 atm,68 °C ,1.2 g,1.688 Earth Masses,,Nepmos,,,,,,,
442,Milky Way / Hades Gamma / Farinata,117.7 AU,302.0 Earth Years,17.878,"3,742 km",30.1 Earth Hours,0.23 atm,848 °C ,0.27 g,0.092 Earth Masses,≥ 1,Nepneu,,,,,,,
443,Milky Way / Local Cluster / Sol,29.1 AU,164.8 Earth Years,0.907,"24,764 km",16.1 Earth Hours,,,,17 Earth Masses,14,Neptune,Human,70 (Triton),,,,,
444,Milky Way / Crescent Nebula / Zelene,0.8 AU,0.8 Earth Years,0.8,"4,456 km",40.4 Earth Hours,0.55 atm,32 °C ,0.57 g,0.276 Earth Masses,,Nepyma,,,,,,,
445,Andromeda / Heleus Cluster / Vaotessa,1.1 AU,1.3 Earth Years,0.788,"3,774 km",,0.82 atm,-7 °C ,,,,Netiquur,,,,,,,
446,Milky Way / Silean Nebula / Teyolia,1.6 AU,1.8 Earth Years,1.264,"7,134 km",19.7 Earth Hours,1.07 atm,23 °C ,1.11 g,1.378 Earth Masses,2,Nevos,Asari,677 million,Astella,430 CE,,,
447,,,,,,,,,,,,,,,,,,,
448,Milky Way / Athena Nebula / Orisoni,1.9 AU,2.6 Earth Years,1.015,"11,397 km",35.3 Earth Hours,2.99 atm,54 °C ,1.27 g,4.025 Earth Masses,,Niacal,Asari,"7,300,000(Pop. estimate is pre-invasion)",Aurolis,177 CE,,,
449,Milky Way / Athena Nebula / Tomaros,5.8 AU,14 Earth Years,0.995,"58,382 km",10.1 Earth Hours,,,,,,Niagolon,,,,,,,
450,Milky Way / Apien Crest / Castellus,0.75 AU,0.7 Earth Years,0.861,"2,849 km",29.4 Earth Hours,115.77 atm,756 °C ,0.39 g,0.077 Earth Masses,,Nios,,,,,,,
451,Milky Way / Minos Wasteland / Arrae,6.2 AU,15.5 Earth Years,0.992,"56,378 km",12.6 Earth Hours,,,,,,Nirrus,,,,,,,
452,Milky Way / Exodus Cluster / Utopia,25.6 AU,129.9 Earth Years,0.994,"3,212 km",63.9 Earth Hours,0.02 atm,-203 °C ,0.2 g,0.05 Earth Masses,,Nirvana,,,,,,,
453,Milky Way / Maroon Sea / Vostok,,3.6 Earth Years,,"5,988 km",22.2 Earth Hours,2.63 atm,23 °C ,0.9 g,0.787 Earth Masses,,Nodacrux,,,,,,,
454,Milky Way / Hades Gamma / Plutus,30.08 AU,94.0 Earth Years,3.08,"4,439 km",46.9 Earth Hours,0.88 atm,127 °C ,0.85 g,0.409 Earth Masses,,Nonuel,,,,,,,
455,Milky Way / Nubian Expanse / Qertassi,6.17 AU,2.4 Earth Years,40.779,"42,214 km",19.2 Earth Hours,,,,,> 1,Norehsa,,,,,,,
456,Andromeda / Heleus Cluster / Skeldah,0.9 AU,1.6 Earth Years,0.285,"4,797 km",,1.69 atm,-117 °C ,,,,Norgraqua,,,,,,,
457,Milky Way / Athena Nebula / Ialessa,18.7 AU,81.1 Earth Years,0.994,"10,909 km",54.1 Earth Hours,Trace,-146 °C ,0.76 g,2.207 Earth Masses,,Nossia,,,,,,,
458,Milky Way / Armstrong Nebula / Grissom,,990.5 Earth Years,,"73,314 km",16.9 Earth Hours,,,,,> 1,Notanban,,,,,,,
459,,,,,,,,,,,,,,,,,,,
460,Milky Way / Horse Head Nebula / Pax,0.9 AU,0.9 Earth Years,0.9,"5,656 km",52.0 Earth Hours,0.87 atm,-1 °C ,0.81 g,0.63 Earth Masses,,Noveria,,"361,400 (2183)405,200 (2186)",Port Hanshan,2163,,,
461,Andromeda / Heleus Cluster / Inalaara,3.1 AU,5.6 Earth Years,0.95,"18,095 km",,.85 atm,,,,,Novolori,,,,,,,
462,Milky Way / Sigurd's Cradle / Lenal,17.4 AU,66.5 Earth Years,1.191,"50,752 km",13.4 Earth Hours,,,,,>1,Nutus,Turian,,,,,,
463,Andromeda / Heleus Cluster / Remav,9.1 AU,15.7 years,,"5,453 km",,0.94 atm,293 °C ,,,,Nuundri,,,,,,,
464,Andromeda / Heleus Cluster / Onaon,17.7 AU,83.2 Earth Years,0.801,"5,771 km",,41.20 atm,77 °C ,,,1,Obayro,,,,,,,
465,Milky Way / Ismar Frontier / Elysta,0.96 AU,1.1 Earth Years,0.731,"6,882 km",28.3 Earth Hours,1.1 atm,20 °C ,1.2 g,1.387 Earth Masses,,Odasst,,11640,Jorass,,,,
